gene_id,Sample_Id,mRNA_expression
706,93,-0.8364
4030,93,-0.5917
793,93,-0.6536
2194,93,1.8329
4494,93,-1.2034
1469,93,-2.3804
3123,93,-0.7593
4056,93,-1.35
1783,93,0.7064
1342,93,1.6123
108,93,-1.3461
1017,93,-1.4095
7510,93,3.477
5367,93,-1.0031
1206,93,-0.8782
1667,93,-1.1866
2185,93,-0.864
817,93,-0.7261
638,93,1.0932
1382,93,0.7884
116,93,0.5895
581,93,-1.4696
6169,93,6.9898
3434,93,-0.5589
324,93,-1.6441
3053,93,1.3576
2578,93,1.6227
4566,93,0.6452
1072,93,-1.007
303,93,1.2234
3351,93,1.6478
4579,93,12.16
373,93,0.5088
4080,93,-2.0682
2704,93,0.9769
3376,93,-0.6768
1365,93,-0.7713
402,93,0.846
591,93,3.7384
2500,93,1.4793
2971,93,-0.5783
2707,93,-0.6158
8997,93,0.6387
4250,93,-0.9973
65,93,-0.5414
594,93,0.8725
79,93,-0.6757
4506,93,-0.6832
5430,95,-1.1064
6092,95,0.5144
1913,95,-1.4198
100,95,-0.6301
883,95,-0.6738
885,95,-1.2393
394,95,1.3716
170,95,-0.5768
7060,95,-0.6093
2831,95,0.9118
377,95,-0.5987
3223,95,1.795
1255,95,1.2067
8202,95,0.7024
300,95,-0.6869
4840,95,-1.0224
2038,95,-0.6752
49,95,-0.7202
6395,95,-1.0768
50,95,-1.1595
1885,95,-0.8467
13,95,-1.0265
2508,95,-1.1896
403,95,-0.8955
1820,95,-0.6099
2615,95,-1.5961
4898,95,1.2737
8775,95,-0.6127
2101,95,0.8223
3703,95,-0.9652
580,95,0.8352
2617,95,-0.5402
7909,95,1.3422
1185,95,-0.5857
2308,95,-1.3208
1281,95,0.7495
4147,95,2.1649
3128,95,-0.8433
1181,95,-0.7093
4228,95,0.8247
2081,95,-0.6527
908,95,-0.5936
7169,95,1.6973
7350,95,-0.702
1460,95,2.6575
1338,95,1.0527
3767,95,-0.5437
1036,95,1.9161
162,95,0.7444
2085,95,1.1336
559,95,1.155
2751,95,-0.944
3499,95,-1.1011
464,95,-1.2112
857,95,2.4684
1824,95,-0.994
1252,95,-1.1412
404,95,-1.1493
1199,95,0.7483
939,95,-1.1514
2061,95,0.5993
1336,95,0.5126
2181,95,0.7621
2866,95,0.6278
5071,95,-0.7828
1386,95,-0.7417
3662,95,1.1963
4831,95,-1.0185
60,95,-1.5294
5369,95,-0.9415
5229,95,-0.6129
1003,95,0.7543
2453,95,-1.0491
557,95,-1.8569
2706,95,-1.3926
886,95,-1.3376
2321,95,-0.5943
3900,95,2.1928
5609,95,0.9814
1836,95,-0.5056
158,95,-0.9962
1058,95,0.7718
157,95,-0.7786
5971,95,0.7966
5005,95,-2.1594
1035,95,-0.5049
918,95,-1.1888
1068,95,-0.743
1083,95,-0.5158
1509,95,-0.9062
2851,95,-0.9544
3146,95,-1.2922
3557,95,-1.5814
3332,95,-1.4445
991,95,0.9006
9794,95,0.837
4504,95,0.8564
983,95,1.1038
3630,95,1.6185
962,95,1.6027
1794,95,-0.6892
6212,95,-0.7744
1436,95,1.1854
579,95,1.6776
3056,95,-1.5753
9596,95,-0.6106
1844,95,-1.1228
2233,95,-0.5764
635,95,-1.229
646,95,-0.8229
5628,95,-0.7703
244,95,-0.8185
1207,95,-0.5716
4361,95,0.9821
4131,95,-1.5059
4124,95,-2.4529
3115,95,-1.7918
727,95,-1.1221
2813,95,-1.4267
224,95,-0.7626
1419,95,-1.2759
5715,95,-1.1912
526,95,-0.6936
5586,95,-0.5746
3285,95,-0.8745
1768,95,-0.7684
2660,95,-0.6426
51,95,-1.1085
3523,95,-0.6785
1767,95,-0.6765
3944,95,-1.4921
1363,95,1.6417
1969,95,-1.763
6382,95,-0.5855
3930,95,1.2056
6367,95,0.9447
1314,95,-0.5719
337,95,0.6945
6374,95,0.7218
2097,95,-0.5124
7522,95,0.9239
3486,95,-0.6233
2595,95,-0.7879
3841,95,0.5969
1126,95,1.0354
2576,95,1.4571
2058,95,0.5292
5849,95,-0.8438
3241,95,-0.5195
5416,95,-1.0468
2064,95,-0.6392
664,95,2.0352
1585,95,-1.1662
3224,95,-0.5113
2695,95,-1.405
318,95,1.1223
1965,95,-0.9108
2326,95,-1.2658
456,95,-0.7763
5036,95,-0.764
1294,95,-2.5102
2797,95,-2.1029
2119,95,-0.8206
3594,95,-1.3373
634,95,-1.0619
4900,95,-0.5865
1613,95,1.0204
3193,95,0.7656
1618,95,-1.4916
47,95,-0.6151
63,95,-1.8221
7374,95,-0.9161
3862,95,0.9662
756,95,-0.6245
